corpus,file,sent_idx,sentence
Folk Fairy Tales,Bechstein_Das Dukaten-Angele_571.txt,112,Und das Angele behielt seine Tugend bei und legte fortwährend jede Nacht sein gelbes Eichen mit einem klingenden Klang in das Tassenköpfchen.
Folk Fairy Tales,Grimm_Die drei Federn_545A.txt,32,Sie gab ihm eine ausgehöhlte gelbe Rübe mit sechs Mäuschen bespannt.
Folk Fairy Tales,Grimm_Die drei Federn_545A.txt,36,"Da griff er auf Geratewohl eine aus dem Kreise und setzte sie in die gelbe Kutsche, aber kaum saß sie darin, so ward sie zu einem wunderschönen Fräulein, die Rübe zur Kutsche, und die sechs Mäuschen zu Pferden."
Folk Fairy Tales,Grimm_Jorinde und Joringel_405.txt,28,"Nun war die Sonne unter: die Eule flog in einen Strauch, und gleich darauf kam eine alte krumme Frau aus diesem hervor, gelb und mager, mit großen roten Augen, krummer Nase, die mit der Spitze ans Kinn reichte."
Folk Fairy Tales,Grimm_Schneewittchen_709.txt,15,"""

Da erschrak die Königin und ward gelb und grün vor Neid."
Folk Fairy Tales,Grimm_Von dem Fischer und seiner Frau_555.txt,21,"Als er da nun hinkam, war die See ganz grün und gelb und gar nicht mehr so klar."
Folk Fairy Tales,Grimm_Von dem Fischer und seiner Frau_555.txt,44,"Als er an die See kam, war das Wasser ganz violett und dunkelblau und grau und dick und gar nicht mehr so grün und gelb, doch war es noch still."
GPT-4o,ChatGPT-4o_40.txt,14,"Dort, als sie die Feder zeigen wollte, kam ein fremder Mann mit rotem Mantel und gelber Feder im Hut auf sie zu."
GPT-4o,ChatGPT-4o_80.txt,6,"Er hatte ein schmales Gesicht, durchzogen von Runzeln wie Rinde, und seine Augen leuchteten gelb wie die Katzenaugen in der Dämmerung."
GPT-4o,ChatGPT-4o_91.txt,3,"Eines Tages, als der Herbstwind durch das Laub rauschte und die ersten Blätter gelb auf den Boden fielen, ging der Müller in den Wald, um Holz zu holen."
GPT-5,ChatGPT-5_52.txt,15,"Er trug Früchte, doch waren sie nicht rot oder gelb, wie man es kennt, sondern golden glänzend, als wären sie aus reinem Metall."
GPT-5,ChatGPT-5_86.txt,53,Der Wolf sah sie mit seinen gelben Augen an.
