corpus,file,sent_idx,sentence
Folk Fairy Tales,Bechstein_Aschenbrödel_510.txt,4,"da hatte die eine schöne Kleider, die andere Perlen und Edelgesteine gewünscht Aschenbrödel aber nur ein grünes Haselreis."
Folk Fairy Tales,Bechstein_Das Natterkrönlein_672.txt,41,"Er mußte erst sein Vieh verkaufen, dann seine Äcker, und alles kaufte der reiche Schulzensohn, und seine Frau führte die lieben Kühe, die nun ihre eigenen waren, mit grünen Kränzen geschmückt, in ihren Stall und streichelte sie und ließ sich wieder die Hände von ihnen lecken und molk und fütterte sie mit eigener Hand."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,2,"""

Die Älteste sprach: ""Lieber Vater, mir eine schöne Perlenhalskette!""

Die andere sprach: ""Ich wünschte mir einen Fingerring mit einem Demantstein""

Die Jüngste schmiegte sich an des Vaters Herz und flüsterte: ""Mir ein schönes, grünes Nußzweiglein, Väterchen.""

""Gut, meine lieben Töchter!"" sprach der Kaufmann, ""ich will mir's aufmerken und dann lebet wohl."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,5,"Einen grünen Nußzweig aber konnte er nirgends gewahren, wie er sich auch darum bemühte."
Folk Fairy Tales,Bechstein_Das Nußzweiglein_425.txt,8,"Endlich, als er so betrübt seines Weges dahinzog, der ihn just durch einen dunklen Wald und an dichtem Gebüsch vorüberführte, stieß er mit seinem Hut an einen Zweig, und es raschelte, als fielen Schlossen darauf; wie er aufsah, war's ein schöner, grüner Nußzweig, daran eine Traube goldner Nüsse hing."
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,1,"als diese sich verheiraten wollte, mußten sich alle Freier auf einer großen grünen Wiese versammeln, da warf sie nun einen goldenen Apfel mehrmals in die Luft, und wer ihn auffing und sich unterstand, drei Bund oder drei Aufgaben, die sie selbst aufgab, zu lösen, der sollte sie dann zur Gemahlin haben."
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,19,Der Bursche aber ging hinaus aufs Feld und setzte sich auf einen grünen Hügel und dachte: Was fang ich an?
Folk Fairy Tales,Bechstein_Der Hasenhüter und die Königstochte_570.txt,21,"er tat es schnell heraus und pfiff, da kamen die hundert Hasen alle wieder gesprungen und weideten lustig um ihn herum an dem grünen Hügel."
Folk Fairy Tales,Bechstein_Der Schmied von Jüterbogk_330.txt,34,"Dann tritt der Kaiser hervor mit all seinen Wappnern, schlägt die große Schlacht der Befreiung und hängt seinen Schild an den wieder grünen Baum."
Folk Fairy Tales,Bechstein_Der Wacholderbaum_720.txt,6,"Da ging sie wieder ins Haus, und als ein Monat vorbei war, da war der Schnee vergangen, und zwei Monate, da war es grün, und drei Monate, da kamen die Blumen aus der Erde, und vier Monate, da drängten sich alle Bäume in dem Holze und die grünen Zweige waren alle ineinander gewachsen."
Folk Fairy Tales,Bechstein_Schab den Rüssel_361.txt,7,"""

Während der Bettler so murrte, ging ein kleines hinkendes Männlein in einem grünen Samtröcklein an ihm vorüber, das trug einen schwarzen spanischen Hut und darauf eine rote Feder und schaute sich halb um nach dem Bettler, wobei ein scharfblitzendes Auge und eine sehr stattliche, stark gebogene Adlernase sichtbar wurden."
